"Story","Title","Result","Date","Stability","Duration (s)"
"Product curd test","Create product","SUCCESS","2023-08-06T18:16:51.536+01:00[Europe/London]","0.0","3.96"
"Product curd test","Update product","SUCCESS","2023-08-06T18:17:24.903+01:00[Europe/London]","0.0","3.86"
"Product curd test","Delet product","SUCCESS","2023-08-06T18:20:05.584+01:00[Europe/London]","0.0","1.92"
"Product curd test","Get height price","SUCCESS","2023-08-06T19:42:10.396+01:00[Europe/London]","0.0","2.4"
"Product curd test","Get product name","SUCCESS","2023-08-06T19:47:44.017+01:00[Europe/London]","0.0","2.37"
"Product CURD test with steps","get all Product Data","SUCCESS","2023-08-06T21:44:28.592+01:00[Europe/London]","0.0","1.28"
"Product CURD test with steps","Create Product","SUCCESS","2023-08-06T21:44:29.891+01:00[Europe/London]","0.0","2.06"
"Product CURD test with steps","GetProductName","SUCCESS","2023-08-06T21:44:31.952+01:00[Europe/London]","0.0","0.18"
"Product CURD test with steps","UpdateProduct","SUCCESS","2023-08-06T21:44:32.134+01:00[Europe/London]","0.0","0.07"
"Product CURD test with steps","GetHiestPrice","SUCCESS","2023-08-06T21:44:32.208+01:00[Europe/London]","0.0","0.22"
"Product CURD test with steps","delete Product","SUCCESS","2023-08-06T21:44:32.429+01:00[Europe/London]","0.0","0.03"
"Store CURD test with steps","This will create a new store","SUCCESS","2023-08-06T14:17:49.523+01:00[Europe/London]","0.0","3.91"
"Store curd test","Find strores with service name","SUCCESS","2023-08-06T16:14:12.319+01:00[Europe/London]","0.0","1.45"
"Store curd test","Find stores","SUCCESS","2023-08-06T16:14:13.789+01:00[Europe/London]","0.0","0.02"
"Store curd test","Get all store info","SUCCESS","2023-08-06T16:14:13.813+01:00[Europe/London]","0.0","0.11"
"Store curd test","Delete id","SUCCESS","2023-08-06T16:14:13.927+01:00[Europe/London]","0.0","0.04"
"Store curd test","This will create a new store","SUCCESS","2023-08-06T16:20:23.717+01:00[Europe/London]","0.0","2.62"
"Store curd test","Update the user Information and verify the updated information","SUCCESS","2023-08-06T16:21:28.514+01:00[Europe/London]","0.0","2.55"
"Store CURD test with steps","This will getting a store data","SUCCESS","2023-08-06T16:48:59.518+01:00[Europe/London]","0.0","1.16"
"Store CURD test with steps","Update store","SUCCESS","2023-08-06T16:49:35.177+01:00[Europe/London]","0.0","2.67"
"Store CURD test with steps","Delete Store","SUCCESS","2023-08-06T16:58:22.150+01:00[Europe/London]","0.0","1.14"
